iso3,religion.aid
ABW,51439.06338
AFG,0
AGO,51439.06338
AIA,51439.06338
ALB,0
AND,51439.06338
ARE,0
ARG,51439.06338
ARM,51439.06338
ASM,51439.06338
ATG,51439.06338
AUT,51439.06338
AZE,0
BDI,51439.06338
BEL,51439.06338
BEN,51439.06338
BFA,0
BGD,0
BGR,51439.06338
BHR,0
BHS,51439.06338
BIH,51439.06338
BLR,51439.06338
BLZ,51439.06338
BMU,51439.06338
BOL,51439.06338
BRA,51439.06338
BRB,51439.06338
BRN,0
BTN,0
BWA,51439.06338
CAF,51439.06338
CHE,51439.06338
CHL,51439.06338
CHN,9311.089062
CIV,51439.06338
CMR,51439.06338
COD,51439.06338
COG,51439.06338
COK,51439.06338
COL,51439.06338
COM,0
CPV,51439.06338
CRI,51439.06338
CUB,51439.06338
CUW,51439.06338
CYM,51439.06338
CYP,51439.06338
CZE,9311.089062
DJI,0
DMA,51439.06338
DNK,51439.06338
DOM,51439.06338
DZA,0
ECU,51439.06338
EGY,0
ERI,51439.06338
ESH,0
EST,9311.089062
ETH,51439.06338
FIN,51439.06338
FJI,51439.06338
FLK,51439.06338
FRO,51439.06338
FSM,51439.06338
GAB,51439.06338
GEO,51439.06338
GHA,51439.06338
GIB,51439.06338
GIN,0
GLP,51439.06338
GMB,0
GNB,0
GNQ,51439.06338
GRC,51439.06338
GRD,51439.06338
GRL,51439.06338
GTM,51439.06338
GUF,51439.06338
GUM,51439.06338
GUY,51439.06338
HKG,9311.089062
HND,51439.06338
HRV,51439.06338
HTI,51439.06338
HUN,51439.06338
IDN,0
IMN,51439.06338
IND,0
IRL,51439.06338
IRN,0
IRQ,0
ISL,51439.06338
ISR,0
JAM,51439.06338
JOR,0
KAZ,0
KEN,51439.06338
KGZ,0
KHM,0
KIR,51439.06338
KNA,51439.06338
KWT,0
LAO,0
LBN,0
LBR,51439.06338
LBY,0
LCA,51439.06338
LIE,51439.06338
LKA,0
LSO,51439.06338
LTU,51439.06338
LUX,51439.06338
LVA,51439.06338
MAC,0
MAR,0
MCO,51439.06338
MDA,51439.06338
MDG,51439.06338
MDV,0
MEX,51439.06338
MHL,51439.06338
MKD,51439.06338
MLI,0
MLT,51439.06338
MMR,0
MNE,51439.06338
MNG,0
MNP,51439.06338
MOZ,51439.06338
MRT,0
MSR,51439.06338
MTQ,51439.06338
MUS,0
MWI,51439.06338
MYS,0
MYT,0
NAM,51439.06338
NCL,51439.06338
NER,0
NGA,51439.06338
NIC,51439.06338
NIU,51439.06338
NOR,51439.06338
NPL,0
NRU,51439.06338
NZL,51439.06338
OMN,0
PAK,0
PAN,51439.06338
PER,51439.06338
PHL,51439.06338
PLW,51439.06338
PNG,51439.06338
POL,51439.06338
PRI,51439.06338
PRK,9311.089062
PRT,51439.06338
PRY,51439.06338
PSE,0
PYF,51439.06338
QAT,0
REU,51439.06338
ROU,51439.06338
RUS,51439.06338
RWA,51439.06338
SAU,0
SDN,0
SEN,0
SGP,0
SHN,51439.06338
SLB,51439.06338
SLE,0
SLV,51439.06338
SMR,51439.06338
SOM,0
SPM,51439.06338
SRB,51439.06338
SSD,51439.06338
STP,51439.06338
SUR,51439.06338
SVK,51439.06338
SVN,51439.06338
SWE,51439.06338
SWZ,51439.06338
SXM,51439.06338
SYC,51439.06338
SYR,0
TCA,51439.06338
TCD,0
TGO,51439.06338
THA,0
TJK,0
TKL,51439.06338
TKM,0
TLS,51439.06338
TON,51439.06338
TTO,51439.06338
TUN,0
TUR,0
TUV,51439.06338
TZA,51439.06338
UGA,51439.06338
UKR,51439.06338
URY,51439.06338
UZB,0
VAT,51439.06338
VCT,51439.06338
VEN,51439.06338
VGB,51439.06338
VIR,51439.06338
VNM,0
VUT,51439.06338
WLF,51439.06338
WSM,51439.06338
YEM,0
ZAF,51439.06338
ZMB,51439.06338
ZWE,51439.06338
